"BehaviorSpace results (NetLogo 6.2.2)"
"DissertationRM-withsweep.nlogo"
"experiment Mask usage"
"12/15/2022 12:38:31:667 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-30","30","-30","30"
,"0.3","0.04","0.26","0.24","0.02","0","98.38","0.28","1.32","0","0.2","0.04","0.16","0.16","0","0","98.52","0.2","1.28","0","0.18","0.02","0.16","0.16","0","0","98.54","0.18","1.28","0","0.1","0","0.1","0.1","0","0","98.64","0.1","1.26","0","0.2","0.04","0.16","0.16","0","0","98.52","0.2","1.28","0","0.18","0.04","0.14","0.14","0","0","98.54","0.18","1.28","0","0.14","0","0.14","0.12","0.02","0","98.62","0.12","1.24","0","0.08","0","0.08","0.08","0","0","98.76","0.08","1.16","0","0.26","0.02","0.24","0.24","0","0","98.44","0.26","1.3","0","0.18","0.04","0.14","0.14","0","0","98.62","0.18","1.2","0","0.04","0","0.04","0.04","0","0","98.76","0.04","1.2","0"
,"0.3","0.04","0.26","0.24","0.02","0","98.38","0.28","1.32","0","0.2","0.04","0.16","0.16","0","0","98.52","0.2","1.28","0","0.16","0.02","0.14","0.14","0","0","98.54","0.16","1.3","0","0.1","0","0.1","0.1","0","0","98.64","0.1","1.26","0","0.2","0.04","0.16","0.16","0","0","98.52","0.2","1.28","0","0.16","0.04","0.12","0.12","0","0","98.54","0.16","1.3","0","0.14","0","0.14","0.12","0.02","0","98.62","0.12","1.24","0","0.08","0","0.08","0.08","0","0","98.76","0.08","1.16","0","0.24","0.02","0.22","0.22","0","0","98.44","0.24","1.32","0","0.18","0.04","0.14","0.14","0","0","98.62","0.18","1.2","0","0.04","0","0.04","0.04","0","0","98.76","0.04","1.2","0"
,"0.3","0.04","0.26","0.24","0.02","0","98.38","0.28","1.32","0","0.2","0.04","0.16","0.16","0","0","98.52","0.2","1.28","0","0.16","0.02","0.14","0.14","0","0","98.54","0.16","1.3","0","0.1","0","0.1","0.1","0","0","98.64","0.1","1.26","0","0.2","0.04","0.16","0.16","0","0","98.52","0.2","1.28","0","0.16","0.04","0.12","0.12","0","0","98.54","0.16","1.3","0","0.14","0","0.14","0.12","0.02","0","98.62","0.12","1.24","0","0.08","0","0.08","0.08","0","0","98.76","0.08","1.16","0","0.24","0.02","0.22","0.22","0","0","98.44","0.24","1.32","0","0.18","0.04","0.14","0.14","0","0","98.62","0.18","1.2","0","0.04","0","0.04","0.04","0","0","98.76","0.04","1.2","0"
,"0.3","0.04","0.26","0.24","0.02","0","98.38","0.28","1.32","0","0.2","0.04","0.16","0.16","0","0","98.52","0.2","1.28","0","0.16","0.02","0.14","0.14","0","0","98.54","0.16","1.3","0","0.1","0","0.1","0.1","0","0","98.64","0.1","1.26","0","0.2","0.04","0.16","0.16","0","0","98.52","0.2","1.28","0","0.16","0.04","0.12","0.12","0","0","98.54","0.16","1.3","0","0.14","0","0.14","0.12","0.02","0","98.62","0.12","1.24","0","0.06","0","0.06","0.06","0","0","98.76","0.06","1.18","0","0.24","0.02","0.22","0.22","0","0","98.44","0.24","1.32","0","0.18","0.04","0.14","0.14","0","0","98.62","0.18","1.2","0","0.04","0","0.04","0.04","0","0","98.76","0.04","1.2","0"
,"0.3","0.04","0.26","0.24","0.02","0","98.38","0.28","1.32","0","0.2","0.04","0.16","0.16","0","0","98.52","0.2","1.28","0","0.16","0.02","0.14","0.14","0","0","98.54","0.16","1.3","0","0.1","0","0.1","0.1","0","0","98.64","0.1","1.26","0","0.2","0.04","0.16","0.16","0","0","98.52","0.2","1.28","0","0.16","0.04","0.12","0.12","0","0","98.54","0.16","1.3","0","0.14","0","0.14","0.12","0.02","0","98.62","0.12","1.24","0","0.06","0","0.06","0.06","0","0","98.76","0.06","1.18","0","0.24","0.02","0.22","0.22","0","0","98.44","0.24","1.32","0","0.18","0.04","0.14","0.14","0","0","98.62","0.18","1.2","0","0.04","0","0.04","0.04","0","0","98.76","0.04","1.2","0"
,"0.3","0.04","0.26","0.24","0.02","0","98.38","0.28","1.32","0","0.2","0.04","0.16","0.16","0","0","98.52","0.2","1.28","0","0.16","0.02","0.14","0.14","0","0","98.54","0.16","1.3","0","0.1","0","0.1","0.1","0","0","98.64","0.1","1.26","0","0.2","0.04","0.16","0.16","0","0","98.52","0.2","1.28","0","0.16","0.04","0.12","0.12","0","0","98.54","0.16","1.3","0","0.14","0","0.14","0.12","0.02","0","98.62","0.12","1.24","0","0.04","0","0.04","0.04","0","0","98.76","0.04","1.2","0","0.22","0.02","0.2","0.2","0","0","98.44","0.22","1.34","0","0.18","0.04","0.14","0.14","0","0","98.62","0.18","1.2","0","0.04","0","0.04","0.04","0","0","98.76","0.04","1.2","0"
,"0.3","0.04","0.26","0.24","0.02","0","98.38","0.28","1.32","0","0.2","0.04","0.16","0.16","0","0","98.52","0.2","1.28","0","0.16","0.02","0.14","0.14","0","0","98.54","0.16","1.3","0","0.1","0","0.1","0.1","0","0","98.64","0.1","1.26","0","0.2","0.04","0.16","0.16","0","0","98.52","0.2","1.28","0","0.16","0.04","0.12","0.12","0","0","98.54","0.16","1.3","0","0.14","0","0.14","0.12","0.02","0","98.62","0.12","1.24","0","0.04","0","0.04","0.04","0","0","98.76","0.04","1.2","0","0.22","0.02","0.2","0.2","0","0","98.44","0.22","1.34","0","0.18","0.04","0.14","0.14","0","0","98.62","0.18","1.2","0","0.04","0","0.04","0.04","0","0","98.76","0.04","1.2","0"
,"0.3","0.04","0.26","0.24","0.02","0","98.38","0.28","1.32","0","0.2","0.04","0.16","0.16","0","0","98.52","0.2","1.28","0","0.16","0.02","0.14","0.14","0","0","98.54","0.16","1.3","0","0.1","0","0.1","0.1","0","0","98.64","0.1","1.26","0","0.2","0.04","0.16","0.16","0","0","98.52","0.2","1.28","0","0.16","0.04","0.12","0.12","0","0","98.54","0.16","1.3","0","0.14","0","0.14","0.12","0.02","0","98.62","0.12","1.24","0","0.04","0","0.04","0.04","0","0","98.76","0.04","1.2","0","0.22","0.02","0.2","0.2","0","0","98.44","0.22","1.34","0","0.18","0.04","0.14","0.14","0","0","98.62","0.18","1.2","0","0.04","0","0.04","0.04","0","0","98.76","0.04","1.2","0"
,"0.28","0.04","0.24","0.22","0.02","0","98.38","0.26","1.34","0","0.2","0.04","0.16","0.16","0","0","98.52","0.2","1.28","0","0.16","0.02","0.14","0.14","0","0","98.54","0.16","1.3","0","0.1","0","0.1","0.1","0","0","98.64","0.1","1.26","0","0.18","0.04","0.14","0.14","0","0","98.52","0.18","1.3","0","0.16","0.04","0.12","0.12","0","0","98.54","0.16","1.3","0","0.14","0","0.14","0.12","0.02","0","98.62","0.12","1.24","0","0.04","0","0.04","0.04","0","0","98.76","0.04","1.2","0","0.22","0.02","0.2","0.2","0","0","98.44","0.22","1.34","0","0.18","0.04","0.14","0.14","0","0","98.62","0.18","1.2","0","0.04","0","0.04","0.04","0","0","98.76","0.04","1.2","0"
,"0.28","0.04","0.24","0.22","0.02","0","98.38","0.26","1.34","0","0.2","0.04","0.16","0.16","0","0","98.52","0.2","1.28","0","0.16","0.02","0.14","0.14","0","0","98.54","0.16","1.3","0","0.1","0","0.1","0.1","0","0","98.64","0.1","1.26","0","0.18","0.04","0.14","0.14","0","0","98.52","0.18","1.3","0","0.16","0.04","0.12","0.12","0","0","98.54","0.16","1.3","0","0.14","0","0.14","0.12","0.02","0","98.62","0.12","1.24","0","0.04","0","0.04","0.04","0","0","98.76","0.04","1.2","0","0.22","0.02","0.2","0.2","0","0","98.44","0.22","1.34","0","0.18","0.04","0.14","0.14","0","0","98.62","0.18","1.2","0","0.04","0","0.04","0.04","0","0","98.76","0.04","1.2","0"
,"0.28","0.02","0.26","0.24","0.02","0","98.38","0.26","1.34","0","0.2","0.02","0.18","0.18","0","0","98.52","0.2","1.28","0","0.16","0.02","0.14","0.14","0","0","98.54","0.16","1.3","0","0.1","0","0.1","0.1","0","0","98.64","0.1","1.26","0","0.18","0.04","0.14","0.14","0","0","98.52","0.18","1.3","0","0.16","0.04","0.12","0.12","0","0","98.54","0.16","1.3","0","0.14","0","0.14","0.12","0.02","0","98.62","0.12","1.24","0","0.04","0","0.04","0.04","0","0","98.76","0.04","1.2","0","0.22","0.02","0.2","0.2","0","0","98.44","0.22","1.34","0","0.18","0.04","0.14","0.14","0","0","98.62","0.18","1.2","0","0.04","0","0.04","0.04","0","0","98.76","0.04","1.2","0"
,"0.28","0.02","0.26","0.24","0.02","0","98.38","0.26","1.34","0","0.2","0.02","0.18","0.18","0","0","98.52","0.2","1.28","0","0.16","0.02","0.14","0.14","0","0","98.54","0.16","1.3","0","0.1","0","0.1","0.1","0","0","98.64","0.1","1.26","0","0.18","0.04","0.14","0.14","0","0","98.52","0.18","1.3","0","0.16","0.04","0.12","0.12","0","0","98.54","0.16","1.3","0","0.14","0","0.14","0.12","0.02","0","98.62","0.12","1.24","0","0.04","0","0.04","0.04","0","0","98.76","0.04","1.2","0","0.2","0.02","0.18","0.18","0","0","98.44","0.2","1.36","0","0.18","0.04","0.14","0.14","0","0","98.62","0.18","1.2","0","0.04","0","0.04","0.04","0","0","98.76","0.04","1.2","0"
,"0.28","0.02","0.26","0.24","0.02","0","98.38","0.26","1.34","0","0.2","0.02","0.18","0.18","0","0","98.52","0.2","1.28","0","0.16","0.02","0.14","0.14","0","0","98.54","0.16","1.3","0","0.1","0","0.1","0.1","0","0","98.64","0.1","1.26","0","0.18","0.04","0.14","0.14","0","0","98.52","0.18","1.3","0","0.16","0.04","0.12","0.12","0","0","98.54","0.16","1.3","0","0.14","0","0.14","0.12","0.02","0","98.62","0.12","1.24","0","0.04","0","0.04","0.04","0","0","98.76","0.04","1.2","0","0.2","0.02","0.18","0.18","0","0","98.44","0.2","1.36","0","0.18","0.04","0.14","0.14","0","0","98.62","0.18","1.2","0","0.04","0","0.04","0.04","0","0","98.76","0.04","1.2","0"
,"0.28","0.02","0.26","0.24","0.02","0","98.38","0.26","1.34","0","0.2","0.02","0.18","0.18","0","0","98.52","0.2","1.28","0","0.16","0.02","0.14","0.14","0","0","98.54","0.16","1.3","0","0.1","0","0.1","0.1","0","0","98.64","0.1","1.26","0","0.18","0.04","0.14","0.14","0","0","98.52","0.18","1.3","0","0.16","0.04","0.12","0.12","0","0","98.54","0.16","1.3","0","0.14","0","0.14","0.12","0.02","0","98.62","0.12","1.24","0","0.04","0","0.04","0.04","0","0","98.76","0.04","1.2","0","0.2","0.02","0.18","0.18","0","0","98.44","0.2","1.36","0","0.18","0.04","0.14","0.14","0","0","98.62","0.18","1.2","0","0.04","0","0.04","0.04","0","0","98.76","0.04","1.2","0"
,"0.28","0.02","0.26","0.24","0.02","0","98.38","0.26","1.34","0","0.2","0.02","0.18","0.18","0","0","98.52","0.2","1.28","0","0.16","0.02","0.14","0.14","0","0","98.54","0.16","1.3","0","0.1","0","0.1","0.1","0","0","98.64","0.1","1.26","0","0.16","0.04","0.12","0.12","0","0","98.52","0.16","1.32","0","0.16","0.04","0.12","0.12","0","0","98.54","0.16","1.3","0","0.14","0","0.14","0.12","0.02","0","98.62","0.12","1.24","0","0.04","0","0.04","0.04","0","0","98.76","0.04","1.2","0","0.18","0.02","0.16","0.16","0","0","98.44","0.18","1.38","0","0.18","0.04","0.14","0.14","0","0","98.62","0.18","1.2","0","0.04","0","0.04","0.04","0","0","98.76","0.04","1.2","0"
,"0.28","0.02","0.26","0.24","0.02","0","98.38","0.26","1.34","0","0.2","0.02","0.18","0.18","0","0","98.52","0.2","1.28","0","0.16","0.02","0.14","0.14","0","0","98.54","0.16","1.3","0","0.1","0","0.1","0.1","0","0","98.64","0.1","1.26","0","0.16","0.04","0.12","0.12","0","0","98.52","0.16","1.32","0","0.16","0.02","0.14","0.14","0","0","98.54","0.16","1.3","0","0.14","0","0.14","0.12","0.02","0","98.62","0.12","1.24","0","0.04","0","0.04","0.04","0","0","98.76","0.04","1.2","0","0.18","0.02","0.16","0.16","0","0","98.44","0.18","1.38","0","0.18","0.04","0.14","0.14","0","0","98.62","0.18","1.2","0","0.04","0","0.04","0.04","0","0","98.76","0.04","1.2","0"
,"0.28","0.02","0.26","0.24","0.02","0","98.38","0.26","1.34","0","0.2","0.02","0.18","0.18","0","0","98.52","0.2","1.28","0","0.16","0.02","0.14","0.14","0","0","98.54","0.16","1.3","0","0.1","0","0.1","0.1","0","0","98.64","0.1","1.26","0","0.16","0.04","0.12","0.12","0","0","98.52","0.16","1.32","0","0.14","0.02","0.12","0.12","0","0","98.54","0.14","1.32","0","0.14","0","0.14","0.12","0.02","0","98.62","0.12","1.24","0","0.04","0","0.04","0.04","0","0","98.76","0.04","1.2","0","0.18","0.02","0.16","0.16","0","0","98.44","0.18","1.38","0","0.18","0.04","0.14","0.14","0","0","98.62","0.18","1.2","0","0.04","0","0.04","0.04","0","0","98.76","0.04","1.2","0"
,"0.28","0.02","0.26","0.24","0.02","0","98.38","0.26","1.34","0","0.2","0.02","0.18","0.18","0","0","98.52","0.2","1.28","0","0.16","0.02","0.14","0.14","0","0","98.54","0.16","1.3","0","0.1","0","0.1","0.1","0","0","98.64","0.1","1.26","0","0.16","0.02","0.14","0.14","0","0","98.52","0.16","1.32","0","0.14","0.02","0.12","0.12","0","0","98.54","0.14","1.32","0","0.14","0","0.14","0.12","0.02","0","98.62","0.12","1.24","0","0.04","0","0.04","0.04","0","0","98.76","0.04","1.2","0","0.18","0.02","0.16","0.16","0","0","98.44","0.18","1.38","0","0.18","0.04","0.14","0.14","0","0","98.62","0.18","1.2","0","0.04","0","0.04","0.04","0","0","98.76","0.04","1.2","0"
,"0.28","0.02","0.26","0.24","0.02","0","98.38","0.26","1.34","0","0.2","0.02","0.18","0.18","0","0","98.52","0.2","1.28","0","0.16","0.02","0.14","0.14","0","0","98.54","0.16","1.3","0","0.1","0","0.1","0.1","0","0","98.64","0.1","1.26","0","0.16","0.02","0.14","0.14","0","0","98.52","0.16","1.32","0","0.14","0.02","0.12","0.12","0","0","98.54","0.14","1.32","0","0.14","0","0.14","0.12","0.02","0","98.62","0.12","1.24","0","0.04","0","0.04","0.04","0","0","98.76","0.04","1.2","0","0.18","0.02","0.16","0.16","0","0","98.44","0.18","1.38","0","0.18","0.04","0.14","0.14","0","0","98.62","0.18","1.2","0","0.04","0","0.04","0.04","0","0","98.76","0.04","1.2","0"
,"0.28","0.02","0.26","0.24","0.02","0","98.38","0.26","1.34","0","0.2","0.02","0.18","0.18","0","0","98.52","0.2","1.28","0","0.16","0.02","0.14","0.14","0","0","98.54","0.16","1.3","0","0.1","0","0.1","0.1","0","0","98.64","0.1","1.26","0","0.16","0.02","0.14","0.14","0","0","98.52","0.16","1.32","0","0.14","0.02","0.12","0.12","0","0","98.54","0.14","1.32","0","0.14","0","0.14","0.12","0.02","0","98.62","0.12","1.24","0","0.04","0","0.04","0.04","0","0","98.76","0.04","1.2","0","0.18","0.02","0.16","0.16","0","0","98.44","0.18","1.38","0","0.18","0.04","0.14","0.14","0","0","98.62","0.18","1.2","0","0.04","0","0.04","0.04","0","0","98.76","0.04","1.2","0"
,"0.28","0.02","0.26","0.24","0.02","0","98.38","0.26","1.34","0","0.2","0.02","0.18","0.18","0","0","98.52","0.2","1.28","0","0.16","0.02","0.14","0.14","0","0","98.54","0.16","1.3","0","0.1","0","0.1","0.1","0","0","98.64","0.1","1.26","0","0.16","0.02","0.14","0.14","0","0","98.52","0.16","1.32","0","0.12","0.02","0.1","0.1","0","0","98.54","0.12","1.34","0","0.14","0","0.14","0.12","0.02","0","98.62","0.12","1.24","0","0.04","0","0.04","0.04","0","0","98.76","0.04","1.2","0","0.18","0.02","0.16","0.16","0","0","98.44","0.18","1.38","0","0.18","0.04","0.14","0.14","0","0","98.62","0.18","1.2","0","0.04","0","0.04","0.04","0","0","98.76","0.04","1.2","0"
,"0.28","0.02","0.26","0.24","0.02","0","98.38","0.26","1.34","0","0.18","0.02","0.16","0.16","0","0","98.52","0.18","1.3","0","0.16","0.02","0.14","0.14","0","0","98.54","0.16","1.3","0","0.1","0","0.1","0.1","0","0","98.64","0.1","1.26","0","0.16","0.02","0.14","0.14","0","0","98.52","0.16","1.32","0","0.12","0.02","0.1","0.1","0","0","98.54","0.12","1.34","0","0.14","0","0.14","0.12","0.02","0","98.62","0.12","1.24","0","0.04","0","0.04","0.04","0","0","98.76","0.04","1.2","0","0.18","0.02","0.16","0.16","0","0","98.44","0.18","1.38","0","0.18","0.04","0.14","0.14","0","0","98.62","0.18","1.2","0","0.02","0","0.02","0.02","0","0","98.76","0.02","1.22","0"
,"0.28","0.02","0.26","0.24","0.02","0","98.38","0.26","1.34","0","0.18","0.02","0.16","0.16","0","0","98.52","0.18","1.3","0","0.16","0.02","0.14","0.14","0","0","98.54","0.16","1.3","0","0.1","0","0.1","0.1","0","0","98.64","0.1","1.26","0","0.16","0.02","0.14","0.14","0","0","98.52","0.16","1.32","0","0.12","0.02","0.1","0.1","0","0","98.54","0.12","1.34","0","0.14","0","0.14","0.12","0.02","0","98.62","0.12","1.24","0","0.04","0","0.04","0.04","0","0","98.76","0.04","1.2","0","0.18","0.02","0.16","0.16","0","0","98.44","0.18","1.38","0","0.18","0.04","0.14","0.14","0","0","98.62","0.18","1.2","0","0.02","0","0.02","0.02","0","0","98.76","0.02","1.22","0"
,"0.28","0.02","0.26","0.24","0.02","0","98.38","0.26","1.34","0","0.18","0.02","0.16","0.16","0","0","98.52","0.18","1.3","0","0.16","0.02","0.14","0.14","0","0","98.54","0.16","1.3","0","0.1","0","0.1","0.1","0","0","98.64","0.1","1.26","0","0.16","0.02","0.14","0.14","0","0","98.52","0.16","1.32","0","0.12","0.02","0.1","0.1","0","0","98.54","0.12","1.34","0","0.14","0","0.14","0.12","0.02","0","98.62","0.12","1.24","0","0.04","0","0.04","0.04","0","0","98.76","0.04","1.2","0","0.18","0.02","0.16","0.16","0","0","98.44","0.18","1.38","0","0.18","0.04","0.14","0.14","0","0","98.62","0.18","1.2","0","0.02","0","0.02","0.02","0","0","98.76","0.02","1.22","0"
,"0.28","0.02","0.26","0.24","0.02","0","98.38","0.26","1.34","0","0.18","0","0.18","0.18","0","0","98.52","0.18","1.3","0","0.16","0.02","0.14","0.14","0","0","98.54","0.16","1.3","0","0.1","0","0.1","0.1","0","0","98.64","0.1","1.26","0","0.16","0.02","0.14","0.14","0","0","98.52","0.16","1.32","0","0.12","0.02","0.1","0.1","0","0","98.54","0.12","1.34","0","0.14","0","0.14","0.12","0.02","0","98.62","0.12","1.24","0","0.04","0","0.04","0.04","0","0","98.76","0.04","1.2","0","0.18","0.02","0.16","0.16","0","0","98.44","0.18","1.38","0","0.18","0.04","0.14","0.14","0","0","98.62","0.18","1.2","0","0.02","0","0.02","0.02","0","0","98.76","0.02","1.22","0"
,"0.26","0.02","0.24","0.22","0.02","0","98.38","0.24","1.36","0","0.18","0","0.18","0.18","0","0","98.52","0.18","1.3","0","0.16","0.02","0.14","0.14","0","0","98.54","0.16","1.3","0","0.1","0","0.1","0.1","0","0","98.64","0.1","1.26","0","0.16","0.02","0.14","0.14","0","0","98.52","0.16","1.32","0","0.12","0.02","0.1","0.1","0","0","98.54","0.12","1.34","0","0.14","0","0.14","0.12","0.02","0","98.62","0.12","1.24","0","0.04","0","0.04","0.04","0","0","98.76","0.04","1.2","0","0.18","0.02","0.16","0.16","0","0","98.44","0.18","1.38","0","0.18","0.04","0.14","0.14","0","0","98.62","0.18","1.2","0","0.02","0","0.02","0.02","0","0","98.76","0.02","1.22","0"
,"0.26","0.02","0.24","0.22","0.02","0","98.38","0.24","1.36","0","0.18","0","0.18","0.18","0","0","98.52","0.18","1.3","0","0.16","0.02","0.14","0.14","0","0","98.54","0.16","1.3","0","0.1","0","0.1","0.1","0","0","98.64","0.1","1.26","0","0.16","0.02","0.14","0.14","0","0","98.52","0.16","1.32","0","0.12","0.02","0.1","0.1","0","0","98.54","0.12","1.34","0","0.14","0","0.14","0.12","0.02","0","98.62","0.12","1.24","0","0.04","0","0.04","0.04","0","0","98.76","0.04","1.2","0","0.18","0.02","0.16","0.16","0","0","98.44","0.18","1.38","0","0.18","0.04","0.14","0.14","0","0","98.62","0.18","1.2","0","0.02","0","0.02","0.02","0","0","98.76","0.02","1.22","0"
,"0.26","0.02","0.24","0.22","0.02","0","98.38","0.24","1.36","0","0.18","0","0.18","0.18","0","0","98.52","0.18","1.3","0","0.16","0.02","0.14","0.14","0","0","98.54","0.16","1.3","0","0.1","0","0.1","0.1","0","0","98.64","0.1","1.26","0","0.16","0.02","0.14","0.14","0","0","98.52","0.16","1.32","0","0.12","0.02","0.1","0.1","0","0","98.54","0.12","1.34","0","0.14","0","0.14","0.12","0.02","0","98.62","0.12","1.24","0","0.04","0","0.04","0.04","0","0","98.76","0.04","1.2","0","0.18","0.02","0.16","0.16","0","0","98.44","0.18","1.38","0","0.18","0.04","0.14","0.14","0","0","98.62","0.18","1.2","0","0.02","0","0.02","0.02","0","0","98.76","0.02","1.22","0"
,"0.28","0.04","0.24","0.22","0.02","0","98.36","0.26","1.36","0","0.18","0","0.18","0.18","0","0","98.52","0.18","1.3","0","0.16","0.02","0.14","0.14","0","0","98.54","0.16","1.3","0","0.1","0","0.1","0.1","0","0","98.64","0.1","1.26","0","0.16","0.02","0.14","0.14","0","0","98.52","0.16","1.32","0","0.12","0.02","0.1","0.1","0","0","98.54","0.12","1.34","0","0.12","0","0.12","0.1","0.02","0","98.62","0.1","1.26","0","0.04","0","0.04","0.04","0","0","98.76","0.04","1.2","0","0.18","0.02","0.16","0.16","0","0","98.44","0.18","1.38","0","0.18","0.04","0.14","0.14","0","0","98.62","0.18","1.2","0","0.02","0","0.02","0.02","0","0","98.76","0.02","1.22","0"
,"0.28","0.04","0.24","0.22","0.02","0","98.36","0.26","1.36","0","0.18","0","0.18","0.18","0","0","98.52","0.18","1.3","0","0.16","0.02","0.14","0.14","0","0","98.54","0.16","1.3","0","0.1","0","0.1","0.1","0","0","98.64","0.1","1.26","0","0.16","0.02","0.14","0.14","0","0","98.52","0.16","1.32","0","0.12","0.02","0.1","0.1","0","0","98.54","0.12","1.34","0","0.12","0","0.12","0.1","0.02","0","98.62","0.1","1.26","0","0.04","0","0.04","0.04","0","0","98.76","0.04","1.2","0","0.18","0.02","0.16","0.16","0","0","98.44","0.18","1.38","0","0.16","0.04","0.12","0.12","0","0","98.62","0.16","1.22","0","0.02","0","0.02","0.02","0","0","98.76","0.02","1.22","0"
,"0.28","0.04","0.24","0.22","0.02","0","98.36","0.26","1.36","0","0.18","0","0.18","0.18","0","0","98.52","0.18","1.3","0","0.16","0.02","0.14","0.14","0","0","98.54","0.16","1.3","0","0.1","0","0.1","0.1","0","0","98.64","0.1","1.26","0","0.16","0.02","0.14","0.14","0","0","98.52","0.16","1.32","0","0.12","0.02","0.1","0.1","0","0","98.54","0.12","1.34","0","0.12","0","0.12","0.1","0.02","0","98.62","0.1","1.26","0","0.04","0","0.04","0.04","0","0","98.76","0.04","1.2","0","0.18","0.02","0.16","0.16","0","0","98.44","0.18","1.38","0","0.16","0.04","0.12","0.12","0","0","98.62","0.16","1.22","0","0.02","0","0.02","0.02","0","0","98.76","0.02","1.22","0"
,"0.28","0.04","0.24","0.22","0.02","0","98.36","0.26","1.36","0","0.18","0","0.18","0.18","0","0","98.52","0.18","1.3","0","0.16","0.02","0.14","0.14","0","0","98.54","0.16","1.3","0","0.1","0","0.1","0.1","0","0","98.64","0.1","1.26","0","0.16","0.02","0.14","0.14","0","0","98.52","0.16","1.32","0","0.12","0.02","0.1","0.1","0","0","98.54","0.12","1.34","0","0.12","0","0.12","0.1","0.02","0","98.62","0.1","1.26","0","0.02","0","0.02","0.02","0","0","98.76","0.02","1.22","0","0.18","0.02","0.16","0.16","0","0","98.44","0.18","1.38","0","0.16","0.04","0.12","0.12","0","0","98.62","0.16","1.22","0","0.02","0","0.02","0.02","0","0","98.76","0.02","1.22","0"
